Browser,Month,Traffic Source,Views,Visits
Nokia X2-01,Feb-14,External,25,10
Nokia 200,Feb-14,External,12,12
OneBrowser,Feb-14,External,93,15
LG P970h,Feb-14,External,37,13
Nokia C3-00,Feb-14,External,3,2
SAMSUNG-GT-E1282T Opera,Feb-14,External,2,2
Nokia 311,Feb-14,External,10,7
VPNGate,Feb-14,External,34,1
Dalvik,Feb-14,External,40,10
SAMSUNG-GT-E2252 Opera,Feb-14,External,9,8
0 Opera,Feb-14,External,5,5
Nokia 305,Feb-14,External,14,5
Nokia X2-00,Feb-14,External,6,6
Nokia 2700c-2,Feb-14,External,2,2
GT-I9300 Linux,Feb-14,External,5,2
Nokia C2-03,Feb-14,External,4,4
Nokia C1-01,Feb-14,External,4,1
Huawei,Feb-14,External,1,1
Opera 10.x,Feb-14,External,10,4
Nokia X2-02,Feb-14,External,8,7
Nokia 201,Feb-14,External,9,8
CloudFlare-AlwaysOnline,Feb-14,External,4,4
SAMSUNG-GT-S5292 Opera,Feb-14,External,7,3
SAMSUNG-GT-C3312 Opera,Feb-14,External,14,3
silly that i have to do this,Feb-14,External,12,4
SAMSUNG-GT-S5222 Opera,Feb-14,External,8,5
Nokia 308,Feb-14,External,7,5
PB,Feb-14,External,48,5
SAMSUNG-GT-E2202 Opera,Feb-14,External,5,4
Nokia 302,Feb-14,External,1,1
GT-E3300 Opera,Feb-14,External,2,1
Universe,Feb-14,External,1,1
LG P760,Feb-14,External,8,3
Nokia C2-00,Feb-14,External,2,2
JUC,Feb-14,External,5,3
GT-I9500 Linux,Feb-14,External,4,2
SAMSUNG Opera,Feb-14,External,3,2
SAMSUNG-GT-C3262 Opera,Feb-14,External,4,2
SAMSUNG-GT-S3802 Opera,Feb-14,External,6,4
Netscape Navigator 7.x,Feb-14,External,5,3
Nokia 206,Feb-14,External,3,2
Seznam screenshot-generator,Feb-14,External,5,5
Nokia 110,Feb-14,External,17,1
Nokia 2690,Feb-14,External,2,2
SAMSUNG-GT-S5222R Opera,Feb-14,External,2,2
IUC(U;iOS,Feb-14,External,2,1
SAMSUNG-GT-C3312R Opera,Feb-14,External,4,4
'Mozilla,Feb-14,External,2,2
Nokia 3110c,Feb-14,External,1,1
RunboX5-W Linux,Feb-14,External,1,1
RunboX5-King Linux,Feb-14,External,29,7
LG P655K,Feb-14,External,16,4
Nokia 112,Feb-14,External,1,1
Motorola EX225,Feb-14,External,4,2
Lenovo-A850,Feb-14,External,12,4
MT6572,Feb-14,External,1,1
Nokia 6300,Feb-14,External,1,1
Empty,Feb-14,External,23,4
Nokia 202,Feb-14,External,4,2
Nokia 205,Feb-14,External,4,3
A40Ti,Feb-14,External,15,3
Nokia 306,Feb-14,External,1,1
HTC HD2 T9193 Opera,Feb-14,External,1,1
PantechP7040,Feb-14,External,4,4
Nokia X2-05,Feb-14,External,1,1
Epiphany 2.x,Feb-14,External,3,2
googleinstantisreallyirritating=yes,Feb-14,External,11,3
Nokia 6303iclassic,Feb-14,External,2,2
iPad,Feb-14,External,6,3
Nokia 309,Feb-14,External,2,2
ASM Http Client,Feb-14,External,6,1
Nokia 310,Feb-14,External,3,1
android tablet,Feb-14,External,3,2
Lenovo-A766,Feb-14,External,2,2
SAMSUNG GT-S3330 Opera,Feb-14,External,2,2
SAMSUNG-GT-E2250 Opera,Feb-14,External,2,2
Kik,Feb-14,External,2,2
Athens15 TD,Feb-14,External,5,2
G51 Wynncom Linux,Feb-14,External,1,1
SAMSUNG-SGH-A927,Feb-14,External,1,1
UNTRUSTED,Feb-14,External,1,1
Nokia C6-01/UCWEB8.9.0.253/51,Feb-14,External,2,1
HUAWEI T8833 TD,Feb-14,External,3,1
Nokia E72-1,Feb-14,External,1,1
X9 NOTE Linux,Feb-14,External,5,1
Nokia 5233,Feb-14,External,1,1
samsung-GT-I9295,Feb-14,External,1,1
Nokia C1-02,Feb-14,External,1,1
NOKIAE5-00,Feb-14,External,1,1
OurBrowser,Feb-14,External,1,1
PantechP9020,Feb-14,External,1,1
(compatible; MSIE,Feb-14,External,1,1
OperaMQQBrowser,Feb-14,External,1,1
PANTECH-P7000,Feb-14,External,8,1
Xiaomi 2013061 TD,Feb-14,External,2,1
Lenovo S880,Feb-14,External,1,1
travelviajes,Feb-14,External,1,1
MQBrowser,Feb-14,External,1,1
Karbonn A25 Linux,Feb-14,External,1,1
Karbonn Titanium S9,Feb-14,External,1,1
AJPTNFMU,Feb-14,External,4,1
Sony Ericsson W595,Feb-14,External,1,1
Nokia 7210Supernova,Feb-14,External,1,1
SAMSUNG-SGH-A847,Feb-14,External,1,1
User-Agent: Mozilla,Feb-14,External,1,1
Chrome,Mar-14,External,4153083,884019
Chrome,Mar-14,Internal,160,46
Microsoft Internet Explorer 10.x,Mar-14,External,2934332,584800
Mobile Safari,Mar-14,External,1973177,591435
Microsoft Internet Explorer 8.x,Mar-14,External,1825780,370552
Microsoft Internet Explorer 8.x,Mar-14,Internal,935819,145321
Firefox,Mar-14,External,2160482,483120
Firefox,Mar-14,Internal,6889,1154
Microsoft Internet Explorer 9.x,Mar-14,External,1860352,377229
Safari,Mar-14,External,1016469,233441
Microsoft Internet Explorer 7.x,Mar-14,External,660433,158505
Microsoft Internet Explorer 7.x,Mar-14,Internal,14844,2176
Mozilla,Mar-14,External,509596,111616
Microsoft Internet Explorer 6.x,Mar-14,External,63779,15969
Microsoft Internet Explorer 6.x,Mar-14,Internal,244,34
Opera 9.x,Mar-14,External,15591,5863
Netscape Navigator 4.x,Mar-14,External,2865,2682
Links,Mar-14,External,3994,844
UCWEB,Mar-14,External,346,212
Microsoft Internet Explorer 999.x,Mar-14,External,884,208
LG E425f,Mar-14,External,334,78
LG E450f,Mar-14,External,281,100
LG E975K,Mar-14,External,192,56
LG P690f,Mar-14,External,395,67
KHPHN05ANDA Linux,Mar-14,External,86,28
SAMSUNG-GT-E3309T Opera,Mar-14,External,105,25
External,Mar-14,External,82,13
Konqueror 3.x,Mar-14,External,8,8
Opera 12.x,Mar-14,External,37,9
Nokia 201,Mar-14,External,20,14
MQQBrowser,Mar-14,External,46,12
Nokia 200,Mar-14,External,9,8
Dalvik,Mar-14,External,12,6
Nokia X2-02,Mar-14,External,9,8
Nokia 311,Mar-14,External,6,6
OneBrowser,Mar-14,External,22,9
Nokia C1-01,Mar-14,External,2,2
0 Opera,Mar-14,External,4,3
MT6572,Mar-14,External,12,6
OurBrowser,Mar-14,External,4,1
LG P970h,Mar-14,External,21,8
Nokia C3-00,Mar-14,External,16,11
CloudFlare-AlwaysOnline,Mar-14,External,5,5
Nokia X2-01,Mar-14,External,7,6
Athens15 TD,Mar-14,External,8,3
SAMSUNG-GT-E2202 Opera,Mar-14,External,1,1
Nokia 305,Mar-14,External,13,5
'Mozilla,Mar-14,External,8,4
LG P655K,Mar-14,External,13,2
Nokia 2700c-2,Mar-14,External,3,2
JUC,Mar-14,External,2,2
SAMSUNG-GT-C3262 Opera,Mar-14,External,2,2
MT6572 TD,Mar-14,External,53,8
SAMSUNG-GT-E1282T Opera,Mar-14,External,3,3
googleinstantisreallyirritating=yes,Mar-14,External,41,8
Seznam screenshot-generator,Mar-14,External,3,3
SAMSUNG-GT-E2252 Opera,Mar-14,External,5,3
anonymous,Mar-14,External,9,3
Nokia 205,Mar-14,External,3,3
Nokia X2-00,Mar-14,External,3,3
Nokia 2690,Mar-14,External,3,3
Empty,Mar-14,External,6,1
Nokia C2-01,Mar-14,External,4,2
Nokia 308,Mar-14,External,3,2
SAMSUNG-GT-S5222 Opera,Mar-14,External,4,3
Lenovo A390 ROW:Mozilla,Mar-14,External,3,1
Huawei,Mar-14,External,1,1
Nokia 310,Mar-14,External,3,1
Nokia C2-03,Mar-14,External,4,2
SAMSUNG Opera,Mar-14,External,3,3
ThumbnailAgent,Mar-14,External,2,2
msie,Mar-14,External,90,3
Opera 10.x,Mar-14,External,7,3
JUC(Linux;U;Android,Mar-14,External,1,1
SAMSUNG-GT-C3312 Opera,Mar-14,External,6,2
PB,Mar-14,External,2,1
Netscape Navigator 7.x,Mar-14,External,4,2
Nokia 5130c-2,Mar-14,External,1,1
Nokia 112,Mar-14,External,1,1
Lenovo-A889,Mar-14,External,16,4
Nokia 206,Mar-14,External,2,2
Android,Mar-14,External,4,3
SAMSUNG-GT-S5292 Opera,Mar-14,External,7,4
GT-I9300 Linux,Mar-14,External,11,4
HUAWEI Y511-T00 TD,Mar-14,External,7,2
SAMSUNG GT-S3332 Opera,Mar-14,External,1,1
Nokia C2-00,Mar-14,External,1,1
en-us,Mar-14,External,3,3
SAMSUNG GT-S3330 Opera,Mar-14,External,3,3
Nokia 303,Mar-14,External,1,1
Nokia 306,Mar-14,External,1,1
SAMSUNG-GT-E3300V Opera,Mar-14,External,18,3
SAMSUNG-GT-S3802 Opera,Mar-14,External,2,1
Epiphany 2.x,Mar-14,External,12,2
LG P760,Mar-14,External,6,3
HUAWEI MT1-T00 TD,Mar-14,External,2,2
Nokia C2-02,Mar-14,External,1,1
samsung-GT-I9500,Mar-14,External,2,2
Nokia 205.1,Mar-14,External,2,2
SAMSUNG-GT-S5222R Opera,Mar-14,External,2,2
SAMSUNG-GT-E3309I Opera,Mar-14,External,1,1
Lenovo A369 Linux,Mar-14,External,4,2
Uzbl,Mar-14,External,7,2
Lenovo-A820,Mar-14,External,4,2
Universe,Mar-14,External,5,1
QQTB,Mar-14,External,2,2
Karbonn A25 Linux,Mar-14,External,2,1
Lenovo-A880,Mar-14,External,1,1
silly that i have to do this,Mar-14,External,3,2
iCab Mobile,Mar-14,External,48,2
Lenovo-A516,Mar-14,External,45,2
HTC802t TD,Mar-14,External,22,2
MT6592 TD,Mar-14,External,3,1
Motorola MB525,Mar-14,External,1,1
LG GT540f,Mar-14,External,3,1
SAMSUNG-GT-I9308 TD,Mar-14,External,15,1
Sony Ericsson J105i,Mar-14,External,4,1
CoolPad8190Q CMCC TD,Mar-14,External,6,1
P80w Linux,Mar-14,External,7,1
WordPress,Mar-14,External,3,1
User-Agent: Mozilla,Mar-14,External,1,1
Lenovo S890,Mar-14,External,4,1
samsung-GT-I8550,Mar-14,External,1,1
Opera 11.x,Mar-14,External,6,1
Nokia 114,Mar-14,External,1,1
Dillo,Mar-14,External,3,1
SAMSUNG-SGH-A927,Mar-14,External,1,1
SAMSUNG-GT-i8000T Mozilla,Mar-14,External,1,1
Mastone G9 TD,Mar-14,External,1,1
Sony Ericsson S500i,Mar-14,External,1,1
LG P920,Mar-14,External,1,1
Nokia 3120classic,Mar-14,External,2,1
Lenovo-A850,Mar-14,External,10,1
SAMSUNG-GT-E2250 Opera,Mar-14,External,1,1
SAMSUNG-GT-I9158 TD,Mar-14,External,2,1
KRIS C2GqGrrA5lUmoSWeVVA480bOc6JrWvgDSdnEEj7Ucjft4h8 KRIS,Mar-14,External,1,1
SAMSUNG-GT-S3800W Opera,Mar-14,External,2,1
HD2 T8585 Mozilla,Mar-14,External,2,1
Nokia X3-02,Mar-14,External,1,1
Nokia 6681,Mar-14,External,1,1
Windows,Mar-14,External,4,1
Nokia 5310XpressMusic,Mar-14,External,1,1
ASM Http Client,Mar-14,External,11,1
SAMSUNG-GT-S6818 TD,Mar-14,External,5,1
BlackBerry 8520,Mar-14,External,2,1
SAMSUNG-GT-S3572 Opera,Mar-14,External,1,1
HTC Touch Pro2 T7373 Mozilla,Mar-14,External,2,1
Infinix BUZZ Linux,Mar-14,External,4,1
BREW-Applet,Mar-14,External,1,1
sprd-S930,Mar-14,External,1,1
Nokia 5610d-1,Mar-14,External,1,1
Nokia 6500s-1,Mar-14,External,1,1
Nokia 309,Mar-14,External,1,1
Lenovo-A269i,Mar-14,External,2,1
Sony Ericsson G502,Mar-14,External,1,1
PantechP7040,Mar-14,External,1,1
LG E610,Mar-14,External,2,1
sprd-Galaxy-S4,Mar-14,External,1,1
Privoxy,Mar-14,External,1,1
Nokia 2055,Mar-14,External,1,1
UNTRUSTED,Mar-14,External,2,1
Kik,Mar-14,External,1,1
Nokia 302,Mar-14,External,1,1
Chrome,Apr-14,External,5882144,1268942
Chrome,Apr-14,Internal,229,75
Microsoft Internet Explorer 10.x,Apr-14,External,4220892,858960
Mobile Safari,Apr-14,External,2637700,788813
Microsoft Internet Explorer 8.x,Apr-14,External,2240077,463463
Microsoft Internet Explorer 8.x,Apr-14,Internal,1190450,193229
Firefox,Apr-14,External,2958178,668242
Firefox,Apr-14,Internal,10071,1558
Microsoft Internet Explorer 9.x,Apr-14,External,2382981,488639
Safari,Apr-14,External,1435185,326775
Microsoft Internet Explorer 7.x,Apr-14,External,814104,200887
Microsoft Internet Explorer 7.x,Apr-14,Internal,28041,5848
Mozilla,Apr-14,External,780215,169747
Microsoft Internet Explorer 6.x,Apr-14,External,76789,19292
Microsoft Internet Explorer 6.x,Apr-14,Internal,85,20
Opera 9.x,Apr-14,External,19452,7612
Netscape Navigator 4.x,Apr-14,External,4204,3698
Links,Apr-14,External,7745,1584
UCWEB,Apr-14,External,515,311
Microsoft Internet Explorer 999.x,Apr-14,External,1516,285
LG E425f,Apr-14,External,764,193
LG E450f,Apr-14,External,564,154
LG E975K,Apr-14,External,291,110
LG P690f,Apr-14,External,143,35
KHPHN05ANDA Linux,Apr-14,External,186,29
SAMSUNG-GT-E3309T Opera,Apr-14,External,108,24
External,Apr-14,External,82,21
Konqueror 3.x,Apr-14,External,28,20
Opera 12.x,Apr-14,External,47,17
Nokia 201,Apr-14,External,10,10
MQQBrowser,Apr-14,External,87,11
Nokia 200,Apr-14,External,12,11
Dalvik,Apr-14,External,42,12
Nokia X2-02,Apr-14,External,15,10
Nokia 311,Apr-14,External,13,11
OneBrowser,Apr-14,External,8,6
Nokia C1-01,Apr-14,External,14,12
0 Opera,Apr-14,External,11,11
MT6572,Apr-14,External,64,8
OurBrowser,Apr-14,External,68,13
LG P970h,Apr-14,External,8,5
Nokia C3-00,Apr-14,External,2,2
CloudFlare-AlwaysOnline,Apr-14,External,6,6
Nokia X2-01,Apr-14,External,5,5
"""Mozilla",Apr-14,External,10,10
Athens15 TD,Apr-14,External,29,7
SAMSUNG-GT-E2202 Opera,Apr-14,External,27,9
Nokia 305,Apr-14,External,52,5
Lenovo A390 Linux,Apr-14,External,73,9
'Mozilla,Apr-14,External,8,5
LG P655K,Apr-14,External,27,7
Nokia 2700c-2,Apr-14,External,11,7
Nokia 2730c-1,Apr-14,External,20,8
JUC,Apr-14,External,6,6
SAMSUNG-GT-C3262 Opera,Apr-14,External,7,6
SAMSUNG-GT-E1282T Opera,Apr-14,External,6,5
Seznam screenshot-generator,Apr-14,External,5,5
SAMSUNG-GT-E2252 Opera,Apr-14,External,7,5
Nokia 210,Apr-14,External,7,7
anonymous,Apr-14,External,12,4
Nokia 205,Apr-14,External,10,4
Nokia X2-00,Apr-14,External,6,4
Nokia 2690,Apr-14,External,4,4
Microsoft Internet Explorer 5.x,Apr-14,External,12,6
GT-E3300 Opera,Apr-14,External,12,6
Empty,Apr-14,External,89,5
Nokia C2-01,Apr-14,External,8,4
Nokia 308,Apr-14,External,4,4
SAMSUNG-GT-S5222 Opera,Apr-14,External,4,3
Nokia 202,Apr-14,External,17,5
World Manager,Apr-14,External,21,5
Lenovo A390 ROW:Mozilla,Apr-14,External,26,4
Huawei,Apr-14,External,10,4
Nokia 310,Apr-14,External,4,4
Nokia C2-03,Apr-14,External,3,3
SAMSUNG Opera,Apr-14,External,3,2
ThumbnailAgent,Apr-14,External,3,3
msie,Apr-14,External,4,2
Opera 10.x,Apr-14,External,2,2
JUC(Linux;U;Android,Apr-14,External,4,4
SAMSUNG-GT-C3312 Opera,Apr-14,External,6,3
Austin Linux,Apr-14,External,8,4
RunboX5-W Linux,Apr-14,External,6,4
SAMSUNG-GT-I9128I TD,Apr-14,External,21,4
PB,Apr-14,External,7,3
Netscape Navigator 7.x,Apr-14,External,3,2
Nokia 5130c-2,Apr-14,External,4,3
Nokia 112,Apr-14,External,3,3
Nokia 206,Apr-14,External,4,2
Android,Apr-14,External,2,1
HTC Touch Pro2 T7381 Opera,Apr-14,External,4,3
Nokia 7210Supernova,Apr-14,External,3,3
SAMSUNG-GT-I9108 TD,Apr-14,External,26,3
Nokia 6303iclassic,Apr-14,External,3,3
Lenovo-A766,Apr-14,External,7,3
HUAWEI Y511-T00 TD,Apr-14,External,1,1
SAMSUNG GT-S3332 Opera,Apr-14,External,2,2
Nokia C2-00,Apr-14,External,3,2
Nokia 303,Apr-14,External,2,2
Nokia 306,Apr-14,External,2,2
SAMSUNG-GT-S3802 Opera,Apr-14,External,3,2
Epiphany 2.x,Apr-14,External,1,1
Lenovo-A830,Apr-14,External,10,2
Nokia 6300,Apr-14,External,2,2
Nokia 5233,Apr-14,External,2,2
Nokia 3110c,Apr-14,External,2,2
WebThumbnail,Apr-14,External,2,2
Sony Ericsson W20,Apr-14,External,2,2
MQBrowser,Apr-14,External,28,2
gt,Apr-14,External,2,2
SAMSUNG-SGH-A667,Apr-14,External,2,2
Nokia 300,Apr-14,External,2,2
MSIE 9,Apr-14,External,2,2
SAMSUNG-GT-E2200 Opera,Apr-14,External,3,2
DOUBLE IV Linux,Apr-14,External,8,2
Nokia 110,Apr-14,External,9,2
Nokia C2-02,Apr-14,External,1,1
SAMSUNG-GT-E3309I Opera,Apr-14,External,2,1
Universe,Apr-14,External,1,1
Karbonn A25 Linux,Apr-14,External,3,1
Lenovo-A880,Apr-14,External,1,1
Dooble,Apr-14,External,1,1
SAMSUNG-GT-B7610,Apr-14,External,2,1
HTC HD2 T9193 Opera,Apr-14,External,1,1
SAMSUNG-GT-C3312R Opera,Apr-14,External,3,1
Lenovo S880,Apr-14,External,2,1
ZTEU880F1 TD,Apr-14,External,2,1
Motorola XT390,Apr-14,External,1,1
97718A ABROAD,Apr-14,External,1,1
BlackBerry 9700,Apr-14,External,1,1
Swingtel SX3 Linux,Apr-14,External,5,1
iBrowser,Apr-14,External,2,1
fuckoff,Apr-14,External,2,1
I9300 Linux,Apr-14,External,3,1
AEIUEFLDR,Apr-14,External,2,1
NetFront,Apr-14,External,5,1
LG E460,Apr-14,External,3,1
Motorola EX225,Apr-14,External,1,1
Nokia 210.3,Apr-14,External,1,1
ASTRO36 TD,Apr-14,External,1,1
TyroTerminalAdapter,Apr-14,External,3,1
